Client 0,Client 1,Client 2,Client 3,Client 4
0.6097561120986938,0.6097561120986938,0.6097561120986938,0.6097561120986938,0.6097561120986938
0.5853658318519592,0.5853658318519592,0.5853658318519592,0.5853658318519592,0.5853658318519592
0.5853658318519592,0.5853658318519592,0.5853658318519592,0.5853658318519592,0.5853658318519592
0.707317054271698,0.707317054271698,0.707317054271698,0.707317054271698,0.707317054271698
0.7560975551605225,0.7560975551605225,0.7560975551605225,0.7560975551605225,0.7560975551605225
0.9268292784690857,0.9268292784690857,0.9268292784690857,0.9268292784690857,0.9268292784690857
0.8292682766914368,0.8292682766914368,0.8292682766914368,0.8292682766914368,0.8292682766914368
0.8048780560493469,0.8048780560493469,0.8048780560493469,0.8048780560493469,0.8048780560493469
0.9024389982223511,0.9024389982223511,0.9024389982223511,0.9024389982223511,0.9024389982223511
0.7560975551605225,0.7560975551605225,0.7560975551605225,0.7560975551605225,0.7560975551605225
0.8536585569381714,0.8780487775802612,1.0,0.7804877758026123,0.8536585569381714
0.7804877758026123,0.8292682766914368,0.6341463327407837,0.9024389982223511,0.6829268336296082
0.7804877758026123,0.8048780560493469,0.8292682766914368,0.7317073345184326,0.8780487775802612
0.9756097793579102,0.9512194991111755,0.9024389982223511,0.8536585569381714,0.8536585569381714
1.0,0.9024389982223511,1.0,0.8292682766914368,0.9268292784690857
0.9268292784690857,0.9268292784690857,0.9756097793579102,0.8780487775802612,0.9268292784690857
0.9756097793579102,0.9512194991111755,0.9756097793579102,0.9512194991111755,0.9268292784690857
0.9756097793579102,0.9268292784690857,1.0,0.9268292784690857,0.9512194991111755
0.9756097793579102,0.9512194991111755,1.0,0.9268292784690857,0.9512194991111755
0.9756097793579102,1.0,1.0,0.9024389982223511,0.9268292784690857
0.8536585569381714,0.8536585569381714,0.9268292784690857,0.9024389982223511,0.9268292784690857
0.8780487775802612,0.9024389982223511,0.9268292784690857,1.0,0.9512194991111755
0.9024389982223511,0.9268292784690857,0.9512194991111755,0.9512194991111755,0.9268292784690857
0.9268292784690857,0.9268292784690857,0.9268292784690857,0.8780487775802612,0.9512194991111755
0.9512194991111755,0.9268292784690857,0.9512194991111755,0.9512194991111755,0.9756097793579102
